"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
1,1455,0.5575749,0.5045661,0.4347224,0.3043848,0.4104809
1,1470,0.5230444,0.4726481,0.4072227,0.2851283,0.3845138
1,1485,0.4907153,0.4427985,0.3815049,0.2671196,0.3602294
1,1500,0.4604442,0.4148808,0.3574516,0.2502766,0.3375168
1,1515,0.4320973,0.3887679,0.3349534,0.2345225,0.3162726
1,1530,0.4055494,0.3643409,0.3139077,0.2197856,0.2963999
1,1545,0.3806835,0.3414887,0.2942188,0.2059989,0.2778085
1,1560,0.3573906,0.3201081,0.2757977,0.1931,0.2604143
1,1575,0.3355683,0.3001017,0.2585607,0.1810303,0.2441381
1,1590,0.3151221,0.2813803,0.2424307,0.1697358,0.2289074
1,1605,0.2959619,0.2638586,0.2273344,0.1591651,0.2146526
1,1620,0.2780067,0.2474597,0.2132055,0.1492719,0.2013114
1,1635,0.2611773,0.232109,0.1999797,0.1400111,0.188823
1,1650,0.2454025,0.2177393,0.1875991,0.1313421,0.1771326
1,1665,0.2306144,0.2042862,0.1760083,0.1232262,0.166188
1,1680,0.2167494,0.19169,0.1651557,0.1156272,0.1559405
1,1695,0.2037482,0.1798948,0.1549932,0.1085115,0.1463447
1,1710,0.1915555,0.1688485,0.1454759,0.1018476,0.1373581
1,1725,0.1801192,0.1585018,0.1365615,0.09560588,0.1289407
1,1740,0.1693912,0.1488099,0.1282111,0.0897591,0.121056
1,1755,0.1593261,0.1397298,0.120388,0.08428148,0.1136691
1,1770,0.1498818,0.1312222,0.113058,0.07914925,0.1067479
1,1785,0.1410189,0.1232501,0.1061894,0.07434008,0.1002624
1,1800,0.1327006,0.115779,0.0997525,0.06983315,0.09418446
1,1815,0.1248924,0.1087766,0.0937194,0.06560901,0.08848784
1,1830,0.1175621,0.1022128,0.08806419,0.06164947,0.08314805
1,1845,0.1106795,0.09605943,0.08276258,0.05793753,0.07814214
1,1860,0.1042164,0.09029,0.07779177,0.05445722,0.0734486
1,1875,0.09814639,0.08488002,0.07313065,0.05119377,0.06904749
1,1890,0.09244461,0.0798063,0.06875925,0.04813317,0.06491993
1,1905,0.08708811,0.07504745,0.06465913,0.04526254,0.06104854
1,1920,0.08205517,0.07058328,0.06081291,0.04256968,0.05741689
1,1935,0.0773256,0.06639504,0.05720443,0.04004328,0.05400972
1,1950,0.0728805,0.06246519,0.05381855,0.03767276,0.05081275
1,1965,0.06870215,0.0587773,0.05064115,0.03544821,0.04781262
1,1980,0.06477401,0.05531604,0.04765901,0.03336038,0.04499688
1,1995,0.06108053,0.05206704,0.04485975,0.03140059,0.04235381
1,2010,0.05760721,0.04901691,0.04223183,0.02956078,0.03987253
1,2025,0.05434041,0.04615304,0.03976439,0.02783333,0.03754278
1,2040,0.05126743,0.04346374,0.03744734,0.02621119,0.03535504
1,2055,0.04837629,0.04093796,0.03527119,0.02468769,0.03330034
1,2070,0.04565584,0.03856546,0.0332271,0.02325666,0.03137032
1,2085,0.04309561,0.03633661,0.03130678,0.02191228,0.02955718
1,2100,0.04068579,0.03424241,0.02950246,0.02064913,0.02785357
