"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Aciclovir|Concentration in container [µmol/l]","Organism|ArterialBlood|Aciclovir|Whole Blood [µmol/l]"
1,840,5.316957,5.206034,4.485398,3.091033,4.211983
1,855,5.211855,5.101584,4.395406,3.029014,4.127476
1,870,5.108893,4.999342,4.307317,2.968307,4.044755
1,885,5.008022,4.899255,4.221084,2.908879,3.963778
1,900,4.909201,4.801272,4.136664,2.850701,3.884504
1,915,4.812383,4.705345,4.054016,2.793743,3.806892
1,930,4.717527,4.611425,3.973097,2.737978,3.730905
1,945,4.624589,4.519466,3.893867,2.683376,3.656504
1,960,4.533529,4.429422,3.816287,2.629912,3.583652
1,975,14.25109,12.88551,11.10185,7.658356,10.42875
1,990,10.85245,10.445,8.999171,6.202103,8.45084
1,1005,9.867805,9.696054,8.353894,5.757128,7.844759
1,1020,9.478931,9.352253,8.057683,5.553123,7.566662
1,1035,9.238831,9.115561,7.853755,5.412598,7.375169
1,1050,9.0398,8.912133,7.678486,5.291762,7.210559
1,1065,8.854674,8.722179,7.514827,5.178918,7.056847
1,1080,8.676366,8.539945,7.357818,5.070667,6.909385
1,1095,8.5027,8.363348,7.205666,4.965776,6.76649
1,1110,8.332944,8.191491,7.057598,4.863709,6.627433
1,1125,8.166923,8.023981,6.913275,4.764231,6.491898
1,1140,8.004412,7.860473,6.7724,4.667133,6.359603
1,1155,7.845301,7.700749,6.634786,4.572287,6.230372
1,1170,7.689506,7.544645,6.50029,4.479592,6.10407
1,1185,7.536926,7.392008,6.368782,4.388958,5.980574
1,1200,7.387471,7.242711,6.240151,4.300307,5.859781
1,1215,7.241082,7.096655,6.114313,4.213583,5.741611
1,1230,7.097697,6.953755,5.991194,4.128733,5.625995
1,1245,6.957248,6.813922,5.870717,4.045703,5.512859
1,1260,6.819672,6.677076,5.752814,3.964449,5.402142
1,1275,6.6849,6.543139,5.637416,3.884922,5.293777
1,1290,6.552868,6.412035,5.52446,3.807077,5.187705
1,1305,6.423519,6.283697,5.413888,3.730875,5.083871
1,1320,6.296793,6.158058,5.305639,3.656275,4.98222
1,1335,6.172637,6.035054,5.199662,3.583241,4.882702
1,1350,6.050994,5.914625,5.095903,3.511734,4.785266
1,1365,5.931811,5.796709,4.994309,3.441721,4.689864
1,1380,5.815036,5.681248,4.894831,3.373166,4.596449
1,1395,5.700615,5.568187,4.79742,3.306035,4.504975
1,1410,5.5885,5.457469,4.702029,3.240296,4.415398
1,1425,5.478639,5.349042,4.60861,3.175917,4.327673
1,1440,5.370986,5.242853,4.51712,3.112867,4.24176
1,1455,5.265494,5.138853,4.427516,3.051116,4.157616
1,1470,5.162118,5.03699,4.339754,2.990635,4.075203
1,1485,5.060812,4.937218,4.253792,2.931396,3.994482
1,1500,4.961533,4.839491,4.169593,2.87337,3.915414
1,1515,4.86424,4.743763,4.087116,2.816532,3.837964
1,1530,4.768889,4.64999,4.006323,2.760854,3.762096
1,1545,4.675441,4.558127,3.927176,2.706311,3.687773
1,1560,4.583856,4.468135,3.849641,2.652878,3.614964
1,1575,4.494096,4.379974,3.773684,2.600533,3.543637
1,1590,4.406121,4.293601,3.699266,2.549249,3.473755
1,1605,4.319896,4.208977,3.626357,2.499004,3.40529
1,1620,4.235385,4.126068,3.554924,2.449777,3.338211
1,1635,4.152553,4.044835,3.484936,2.401546,3.272489
1,1650,4.071363,3.965241,3.416359,2.354288,3.208093
1,1665,3.991783,3.887252,3.349166,2.307982,3.144995
1,1680,3.91378,3.810834,3.283326,2.262609,3.083169
1,1695,3.837322,3.735953,3.218811,2.21815,3.022586
1,1710,3.762377,3.662576,3.155591,2.174583,2.963219
1,1725,3.688914,3.590672,3.09364,2.13189,2.905045
1,1740,3.616902,3.52021,3.032931,2.090054,2.848037
1,1755,3.546314,3.451159,2.973438,2.049055,2.79217
1,1770,3.477118,3.383488,2.915135,2.008877,2.737421
1,1785,3.409287,3.317171,2.857997,1.969501,2.683766
1,1800,3.342795,3.252177,2.802,1.930912,2.631183
1,1815,3.277613,3.18848,2.74712,1.893093,2.579648
1,1830,3.213714,3.126053,2.693334,1.856027,2.529141
1,1845,3.151074,3.064868,2.640619,1.8197,2.479639
1,1860,3.089667,3.004901,2.588953,1.784095,2.431123
1,1875,3.029467,2.946127,2.538314,1.749198,2.38357
1,1890,2.970451,2.88852,2.488681,1.714995,2.336963
1,1905,2.912596,2.832056,2.440033,1.68147,2.291281
1,1920,2.855876,2.776712,2.392351,1.648611,2.246505
1,1935,2.800271,2.722466,2.345613,1.616403,2.202616
1,1950,2.745758,2.669294,2.299802,1.584833,2.159597
1,1965,2.692314,2.617175,2.254897,1.553888,2.11743
1,1980,2.639918,2.566087,2.210881,1.523555,2.076097
1,1995,2.58855,2.516009,2.167734,1.493822,2.035581
1,2010,2.538189,2.46692,2.125441,1.464676,1.995865
1,2025,2.488815,2.418801,2.083982,1.436106,1.956934
1,2040,2.440408,2.371631,2.043342,1.4081,1.918771
1,2055,2.39295,2.325392,2.003503,1.380646,1.881361
1,2070,2.34642,2.280064,1.96445,1.353733,1.844688
1,2085,2.300801,2.235629,1.926166,1.327351,1.808738
1,2100,2.256074,2.192069,1.888636,1.301488,1.773496
1,2115,2.212223,2.149367,1.851844,1.276134,1.738948
1,2130,2.169229,2.107505,1.815777,1.251279,1.705079
1,2145,2.127076,2.066466,1.780419,1.226913,1.671876
1,2160,2.085746,2.026234,1.745756,1.203026,1.639326
1,2175,2.045224,1.986792,1.711774,1.179608,1.607416
1,2190,2.005494,1.948125,1.678459,1.15665,1.576132
1,2205,1.96654,1.910217,1.645799,1.134143,1.545462
1,2220,1.928347,1.873053,1.613779,1.112078,1.515395
1,2235,1.8909,1.836619,1.582388,1.090446,1.485917
1,2250,1.854184,1.800898,1.551612,1.069237,1.457018
1,2265,1.818184,1.765879,1.52144,1.048445,1.428685
1,2280,1.782887,1.731545,1.491859,1.02806,1.400907
1,2295,1.748278,1.697884,1.462858,1.008075,1.373674
1,2310,1.714345,1.664883,1.434424,0.9884807,1.346974
1,2325,1.681073,1.632528,1.406548,0.9692703,1.320797
